id,plate,cameraId,timestamp,confidence
d-2001,MN667PL,CAM-02,2026-09-18T09:40:12Z,0.95
d-2002,BA123XY,CAM-03,2026-09-18T09:42:38Z,0.92
d-2003,ZA482KL,CAM-01,2026-09-18T09:45:01Z,0.97
d-2004,KE555ZT,CAM-03,2026-09-18T09:48:55Z,0.94
d-2005,PN221QW,CAM-04,2026-09-18T09:52:20Z,0.96
d-2006,NIT77AB,CAM-01,2026-09-18T09:55:30Z,0.91
d-2007,TT9999OP,CAM-04,2026-09-18T09:58:44Z,0.89
d-2008,BL004NM,CAM-09,2026-09-18T10:01:15Z,0.93
d-2009,ZA482KL,CAM-02,2026-09-18T10:05:03Z,0.98
d-2010,MN667PL,CAM-01,2026-09-18T10:15:00Z,0.90
