id,plate,cameraId,timestamp,confidence
d-1001,ZA482KL,CAM-01,2026-09-18T08:12:03Z,0.97
d-1002,BA123XY,CAM-02,2026-09-18T08:13:41Z,0.95
d-1003,KE555ZT,CAM-01,2026-09-18T08:14:02Z,0.93
d-1004,PN221QW,CAM-03,2026-09-18T08:14:55Z,0.98
d-1005,NIT77AB,CAM-04,2026-09-18T08:19:30Z,0.91
d-1006,ZA482KL,CAM-03,2026-09-18T08:21:10Z,0.96
d-1007,BL004NM,CAM-01,2026-09-18T08:26:12Z,0.99
d-1008,KE555ZT,CAM-03,2026-09-18T08:41:00Z,0.90
d-1009,PN221QW,CAM-01,2026-09-18T08:55:23Z,0.94
d-1010,TT9999OP,CAM-02,2026-09-18T09:10:15Z,0.88
d-1011,TT9999OA,CAM-02,2026-09-18T09:10:15Z,0.88
